"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.162927620E-1,3.185445070E-1,3.828516230E-2,9.830313683E0,9.835547949E0
7.187225540E-1,3.233301640E-1,4.307080805E-2,9.847063065E0,9.852464082E0
7.211523450E-1,3.281157911E-1,4.785645381E-2,9.847063065E0,9.852644377E0
7.235821370E-1,3.257229924E-1,4.785645381E-2,9.851848602E0,9.857347848E0
7.260118770E-1,3.329014480E-1,5.024927482E-2,9.849455833E0,9.855208196E0
7.284416680E-1,3.233301640E-1,5.503492057E-2,9.861420631E0,9.866873269E0
7.308714600E-1,3.281157911E-1,5.503492057E-2,9.856635094E0,9.862248435E0
7.333012520E-1,3.305086195E-1,4.307080805E-2,9.849455833E0,9.855093671E0
7.357310430E-1,3.400799036E-1,5.503492057E-2,9.835099220E0,9.841131025E0
7.381607830E-1,3.400799036E-1,5.264209956E-2,9.844670296E0,9.850683162E0
7.405905750E-1,3.329014480E-1,5.503492057E-2,9.847063065E0,9.852842393E0
7.430203660E-1,3.185445070E-1,5.264209956E-2,9.847063065E0,9.852354683E0
7.454501580E-1,3.161516786E-1,4.785645381E-2,9.847063065E0,9.852253200E0
7.478799500E-1,3.352942765E-1,4.785645381E-2,9.847063065E0,9.852886049E0
7.503096890E-1,3.305086195E-1,5.503492057E-2,9.842277527E0,9.847979067E0
7.527394810E-1,3.161516786E-1,4.067798331E-2,9.842277527E0,9.847437915E0
7.551692730E-1,3.305086195E-1,4.546362907E-2,9.844670296E0,9.850321625E0
7.575990640E-1,3.281157911E-1,6.221338734E-2,9.854242325E0,9.859899709E0
7.600288560E-1,3.329014480E-1,5.264209956E-2,9.859027863E0,9.864787122E0
7.624585950E-1,3.424727321E-1,5.742774159E-2,9.854242325E0,9.860358884E0
7.648883870E-1,3.329014480E-1,4.307080805E-2,9.859027863E0,9.864740689E0
7.673181790E-1,3.257229924E-1,4.785645381E-2,9.844670296E0,9.850173549E0
7.697479700E-1,3.209373355E-1,4.546362907E-2,9.839884758E0,9.845222180E0
7.721777100E-1,3.352942765E-1,4.546362907E-2,9.839884758E0,9.845700648E0
7.746075020E-1,3.257229924E-1,4.307080805E-2,9.830313683E0,9.835802848E0
7.770372930E-1,3.376871049E-1,5.264209956E-2,9.830313683E0,9.836252888E0
7.794670850E-1,3.281157911E-1,3.828516230E-2,9.830313683E0,9.835862587E0
7.818968770E-1,3.257229924E-1,4.785645381E-2,9.844670296E0,9.850173549E0
7.843266160E-1,3.257229924E-1,5.503492057E-2,9.851848602E0,9.857385312E0
7.867564080E-1,3.257229924E-1,4.067798331E-2,9.844670296E0,9.850141288E0
7.891862000E-1,3.233301640E-1,3.349951655E-2,9.837491989E0,9.842861030E0
7.916159910E-1,3.305086195E-1,4.546362907E-2,9.844670296E0,9.850321625E0
7.940457310E-1,3.329014480E-1,5.982056633E-2,9.847063065E0,9.852870286E0
7.964755230E-1,3.161516786E-1,3.110669367E-2,9.847063065E0,9.852186078E0
7.989053140E-1,3.089732230E-1,3.349951655E-2,9.849455833E0,9.854357761E0
8.013351060E-1,3.305086195E-1,3.828516230E-2,9.842277527E0,9.847899706E0
8.037648980E-1,3.352942765E-1,4.067798331E-2,9.854242325E0,9.860028841E0
8.061946370E-1,3.281157911E-1,3.349951655E-2,9.849455833E0,9.854976530E0
